pattern,support,gain
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,4,3.0
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,2,3.0
bonus_success_nan_vs_Gujarat_Giants_unknown_early_zero||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,1,0.0
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero||doordie_success_nan_vs_Gujarat_Giants_none_early_single,1,0.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,1,0.0
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,7,-1.0
regular_success_nan_vs_Gujarat_Giants_none_early_single,4,-1.0
bonus_success_nan_vs_Gujarat_Giants_unknown_early_zero,2,-1.0
bonus_success_nan_vs_Gujarat_Giants_all_rounder_early_zero,2,-1.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single,1,-1.0
