pattern,support,gain
doordie_success_nan_vs_Puneri_Paltan_none_early_single||doordie_unknown_nan_vs_Puneri_Paltan_none_early_zero||bonus_success_nan_vs_Puneri_Paltan_null_early_zero,2,3.0
doordie_success_nan_vs_Puneri_Paltan_none_early_single||doordie_unknown_nan_vs_Puneri_Paltan_none_early_zero,3,2.0
doordie_unknown_nan_vs_Puneri_Paltan_none_early_zero||bonus_success_nan_vs_Puneri_Paltan_null_early_zero,3,2.0
doordie_success_nan_vs_Puneri_Paltan_none_early_high||doordie_success_nan_vs_Puneri_Paltan_none_early_single,2,1.0
doordie_success_nan_vs_Puneri_Paltan_none_early_single||doordie_success_nan_vs_Puneri_Paltan_none_early_single,2,1.0
bonus_success_nan_vs_Puneri_Paltan_null_early_zero||doordie_success_nan_vs_Puneri_Paltan_none_early_single,2,1.0
doordie_success_nan_vs_Puneri_Paltan_none_early_single,7,-1.0
doordie_unknown_nan_vs_Puneri_Paltan_none_early_zero,4,-1.0
bonus_success_nan_vs_Puneri_Paltan_null_early_zero,4,-1.0
doordie_success_nan_vs_Puneri_Paltan_none_early_high,2,-1.0
