pattern,support,gain
regular_success_nan_vs_Gujarat_Giants_none_early_single||empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,3,2.0
regular_success_nan_vs_Gujarat_Giants_none_early_single||bonus_success_nan_vs_Gujarat_Giants_all_rounder_early_zero,2,1.0
regular_success_nan_vs_Gujarat_Giants_none_early_single||regular_success_nan_vs_Gujarat_Giants_none_early_single,2,1.0
regular_success_nan_vs_Gujarat_Giants_none_early_single,8,-1.0
empty_unknown_nan_vs_Gujarat_Giants_none_early_zero,5,-1.0
bonus_success_nan_vs_Gujarat_Giants_unknown_early_zero,2,-1.0
bonus_success_nan_vs_Gujarat_Giants_all_rounder_early_zero,2,-1.0
regular_success_nan_vs_Gujarat_Giants_none_early_high,1,-1.0
allout_success_nan_vs_Gujarat_Giants_none_early_high,1,-1.0
bonus_success_nan_vs_Gujarat_Giants_null_early_zero,1,-1.0
