pattern,support,gain
doordie_success_nan_vs_Tamil_Thalaivas_none_early_single||bonus_success_nan_vs_Tamil_Thalaivas_null_early_zero,4,3.0
doordie_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||doordie_success_nan_vs_Tamil_Thalaivas_none_early_single||bonus_success_nan_vs_Tamil_Thalaivas_null_early_zero,2,3.0
doordie_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||doordie_success_nan_vs_Tamil_Thalaivas_none_early_single,3,2.0
bonus_success_nan_vs_Tamil_Thalaivas_null_early_zero||doordie_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,2,1.0
bonus_success_nan_vs_Tamil_Thalaivas_null_early_zero||doordie_success_nan_vs_Tamil_Thalaivas_none_early_single,2,1.0
doordie_unknown_nan_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,2,1.0
doordie_success_nan_vs_Tamil_Thalaivas_none_early_single||doordie_success_nan_vs_Tamil_Thalaivas_none_early_single,2,1.0
doordie_success_nan_vs_Tamil_Thalaivas_none_early_single,8,-1.0
bonus_success_nan_vs_Tamil_Thalaivas_null_early_zero,5,-1.0
doordie_unknown_nan_vs_Tamil_Thalaivas_none_early_zero,5,-1.0
