pattern,support,gain
empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero,3,2.0
bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero,1,0.0
bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero||empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero,1,0.0
empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero,1,0.0
bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero||regular_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_single,1,0.0
empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero,6,-1.0
bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero,2,-1.0
regular_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_single,2,-1.0
bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero,1,-1.0
doordie_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_single,1,-1.0
