pattern,support,gain
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single,3,5.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single,4,3.0
bonus_success_Tamil_Thalaivas_vs_U.P._Yoddha_null_early_zero||bonus_success_Tamil_Thalaivas_vs_U.P._Yoddha_null_early_zero,2,1.0
bonus_success_Tamil_Thalaivas_vs_U.P._Yoddha_null_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_high,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,5,-1.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single,5,-1.0
bonus_success_Tamil_Thalaivas_vs_U.P._Yoddha_null_early_zero,4,-1.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_high,2,-1.0
bonus_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,2,-1.0
