pattern,support,gain
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||doordie_success_U_Mumba_vs_U.P._Yoddhas_none_early_single||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,4,7.0
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||doordie_success_U_Mumba_vs_U.P._Yoddhas_none_early_single,6,5.0
doordie_success_U_Mumba_vs_U.P._Yoddhas_none_early_single||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,5,4.0
bonus_success_U_Mumba_vs_U.P._Yoddhas_unknown_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,4,3.0
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,4,3.0
doordie_success_U_Mumba_vs_U.P._Yoddhas_none_early_single||doordie_success_U_Mumba_vs_U.P._Yoddhas_none_early_single,3,2.0
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||bonus_success_U_Mumba_vs_U.P._Yoddhas_unknown_early_zero,3,2.0
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,14,-1.0
doordie_success_U_Mumba_vs_U.P._Yoddhas_none_early_single,11,-1.0
bonus_success_U_Mumba_vs_U.P._Yoddhas_unknown_early_zero,6,-1.0
